CHE298H1F, ,9/4/2014,1,Mon,17,18,BA3008, ,"McGuigan, Alison",  ,,
CHE298H1F, ,9/4/2014,1,Wed,17,18,BA3008, ,"Wilkinson, Lydia",  ,,
CHE298H1F, ,9/4/2014,1,Wed,17,18,BA3008, ,"McGuigan, Alison",  ,,
CHE298H1F,TUT 0104,9/4/2014,1,Mon,17,18,BA3012, ,"Wilkinson, Lydia",  ,,
CHE298H1F, ,9/4/2014,1,Mon,17,18,BA3012, ,"McGuigan, Alison",  ,,
CHE298H1F, ,9/4/2014,1,Wed,17,18,BA3012, ,"Wilkinson, Lydia",  ,,
CHE298H1F, ,9/4/2014,1,Wed,17,18,BA3012, ,"McGuigan, Alison",  ,,
CHE298H1F,TUT 0105,9/4/2014,1,Mon,17,18,BA3116, ,"McGuigan, Alison",  ,,
CHE298H1F, ,9/4/2014,1,Mon,17,18,BA3116, ,"Wilkinson, Lydia",  ,,
CHE298H1F, ,9/4/2014,1,Wed,17,18,BA3116, ,"McGuigan, Alison",  ,,
CHE298H1F, ,9/4/2014,1,Wed,17,18,BA3116, ,"Wilkinson, Lydia",  ,,
CHE298H1F,TUT 0106,9/4/2014,1,Wed,17,18,BA2175, ,"McGuigan, Alison",  ,,
CHE298H1F, ,9/4/2014,1,Wed,17,18,BA2175, ,"Wilkinson, Lydia",  ,,
CHE298H1F, ,9/4/2014,1,Mon,17,18,BA2175, ,"McGuigan, Alison",  ,,
CHE298H1F, ,9/4/2014,1,Mon,17,18,BA2175, ,"Wilkinson, Lydia",  ,,
CHE308H1F,LEC 0101,9/4/2014,1,Thu,15,17,BA1230, ,"Kirk, Donald",  ,,
CHE308H1F, ,9/4/2014,1,Thu,15,17,BA1230, ,"Evans, Gregory",  ,,
CHE308H1F, ,9/4/2014,1,Thu,15,17,BA1230, ,"Saville, Bradley",  ,,
CHE308H1F, ,9/4/2014,1,Tue,14,15,RS208, ,"Kirk, Donald",  ,,
CHE308H1F, ,9/4/2014,1,Tue,14,15,RS208, ,"Evans, Gregory",  ,,
CHE308H1F, ,9/4/2014,1,Tue,14,15,RS208, ,"Saville, Bradley",  ,,
CHE308H1F,TUT 0101,9/4/2014,1,Tue,15,16,RS208, , ,  ,,
CHE323H1F,LEC 0101,9/4/2014,1,Mon,15,16,WB116, ,"Acosta, Edgar Joel",  ,,
CHE323H1F, ,9/4/2014,1,Wed,15,16,WB116, ,"Acosta, Edgar Joel",  ,,
CHE323H1F, ,9/4/2014,1,Fri,15,16,WB116, ,"Acosta, Edgar Joel",  ,,
CHE323H1F,TUT 0101,9/4/2014,1,Wed,16,18,SF3201, , ,  ,,
CHE323H1F,TUT 0102,9/4/2014,1,Wed,16,18,HA403, , ,  ,,
CHE324H1F,LEC 0101,9/4/2014,1,Thu,15,16,MC102, ,"Norval, Graeme",  ,,
CHE324H1F, ,9/4/2014,1,Mon,16,17,SF1105, ,"Norval, Graeme",  ,,
CHE324H1F, ,9/4/2014,1,Wed,9,10, , ,"Norval, Graeme",  ,,
CHE324H1F,PRA 0101,9/4/2014,3,Tue,13,16,WB125, ,"Jowlabar, Chatterpaul", occurs once every three weeks,,
CHE324H1F, ,9/4/2014,3,Tue,13,16,WB25, ,"Jowlabar, Chatterpaul", occurs once every three weeks,,
CHE324H1F, ,9/4/2014,3,Fri,9,12,WB125, , , occurs once every three weeks,,
CHE324H1F, ,9/4/2014,3,Fri,9,12,WB25, , , occurs once every three weeks,,
CHE324H1F,PRA 0102,9/8/2014,3,Tue,13,16,WB125, ,"Jowlabar, Chatterpaul", occurs once every three weeks,,
